FitType,Visit,CorrKt,CorrKep,CorrKtS,CorrKepS,CCCKt,CCCKep,kepRR
NRRM,1,0.786130,0.043592,0.808131,-0.036356,0.760803,0.027935,NaN
LRRM,1,0.795569,-0.099033,0.831783,-0.068067,0.756430,-0.057575,NaN
CLRRM,1,0.991966,0.987801,0.995659,0.997585,0.988168,0.672999,0.653481
CNRRM,1,0.981653,0.942628,0.993763,0.993551,0.980756,0.749931,0.722500
CHRRM,1,0.994095,0.989984,0.996838,0.998023,0.991198,0.752659,0.722500
NRRM,2,0.796469,0.081408,0.837119,-0.214720,0.769237,0.050430,NaN
LRRM,2,0.852439,-0.218374,0.882525,-0.270789,0.814647,-0.110191,NaN
CLRRM,2,0.985378,0.985388,0.994791,0.996209,0.974430,0.752452,0.713520
CNRRM,2,0.971790,0.965896,0.994457,0.993683,0.966987,0.812470,0.750128
CHRRM,2,0.987679,0.987472,0.995669,0.996470,0.973404,0.789845,0.750128
NRRM,1,0.659134,0.196759,0.906165,-0.070341,0.549609,0.090279,NaN
LRRM,1,0.933452,-0.285592,0.935388,-0.141756,0.922084,-0.142720,NaN
CLRRM,1,0.993718,0.995333,0.997966,0.999829,0.986282,0.620537,0.606514
CNRRM,1,0.989066,0.930064,0.993408,0.995345,0.984970,0.670538,0.655518
CHRRM,1,0.994971,0.996233,0.998415,0.999858,0.988251,0.683381,0.655518
NRRM,2,0.506074,0.384398,0.543478,0.630068,0.424589,0.243379,NaN
LRRM,2,0.561633,0.657715,0.585596,0.655071,0.478507,0.574862,NaN
CLRRM,2,0.999997,0.999992,0.999990,0.999970,0.777337,0.988085,1.249770
CNRRM,2,0.999889,0.999634,0.999864,0.999426,0.776733,0.984583,1.256591
CHRRM,2,0.999997,0.999992,0.999989,0.999971,0.771898,0.985930,1.256591
NRRM,1,0.680433,0.358947,0.660781,0.415854,0.676375,0.276510,NaN
LRRM,1,0.786810,0.061229,0.765816,0.174054,0.786557,0.048218,NaN
CLRRM,1,0.982767,0.930194,0.978781,0.965686,0.981729,0.811918,0.736658
CNRRM,1,0.957224,0.839501,0.953585,0.960377,0.957069,0.794582,0.787836
CHRRM,1,0.986411,0.945768,0.983463,0.967634,0.986258,0.853242,0.787836
NRRM,2,0.357003,0.415799,0.595842,0.492936,0.194746,0.186002,NaN
LRRM,2,0.604422,0.190581,0.648920,0.431821,0.594544,0.134991,NaN
CLRRM,2,0.999936,0.999587,0.999914,0.999653,0.954912,0.999566,1.154042
CNRRM,2,0.989753,0.920660,0.993028,0.988769,0.849526,0.835176,1.494530
CHRRM,2,0.998183,0.994863,0.999729,0.999522,0.859494,0.966301,1.494530
NRRM,1,0.476978,0.313123,0.868297,-0.066483,0.292630,0.158203,NaN
LRRM,1,0.851670,-0.133623,0.888845,-0.202674,0.841983,-0.073807,NaN
CLRRM,1,0.963530,0.879825,0.986091,0.968757,0.957611,0.634215,0.579572
CNRRM,1,0.949395,0.751937,0.973054,0.942393,0.945132,0.748393,0.868624
CHRRM,1,0.984731,0.940523,0.992543,0.980749,0.972936,0.894973,0.868624
NRRM,2,0.473221,0.326297,0.767229,0.053024,0.277532,0.188392,NaN
LRRM,2,0.776482,-0.083502,0.777420,-0.047815,0.769710,-0.062827,NaN
CLRRM,2,0.964073,0.914782,0.994910,0.977713,0.962336,0.843668,0.754203
CNRRM,2,0.843616,0.699010,0.978821,0.938353,0.834389,0.624316,1.064704
CHRRM,2,0.991992,0.984378,0.998275,0.992441,0.971545,0.982474,1.064704
NRRM,1,0.316709,0.293853,0.803313,0.104011,0.162436,0.207472,NaN
LRRM,1,0.793866,0.076802,0.835926,0.044260,0.776692,0.045162,NaN
CLRRM,1,0.981430,0.958523,0.984987,0.995789,0.973975,0.644005,0.607221
CNRRM,1,0.973342,0.933720,0.985027,0.994517,0.971734,0.732568,0.675167
CHRRM,1,0.985817,0.966361,0.989014,0.996075,0.983964,0.724597,0.675167
NRRM,2,0.406392,0.412635,0.895103,-0.033415,0.236229,0.198115,NaN
LRRM,2,0.884116,0.033182,0.901087,-0.164735,0.868563,0.015423,NaN
CLRRM,2,0.947156,0.899960,0.961450,0.989666,0.928914,0.452162,0.444437
CNRRM,2,0.953208,0.885450,0.967258,0.984839,0.943956,0.528193,0.499649
CHRRM,2,0.954025,0.903840,0.967658,0.990032,0.942992,0.523441,0.499649
NRRM,1,0.863885,0.295116,0.971936,0.131098,0.778920,0.218050,NaN
LRRM,1,0.978827,0.079587,0.977985,0.114748,0.923238,0.046165,NaN
CLRRM,1,0.992599,0.933335,0.996465,0.992763,0.976633,0.614680,0.546784
CNRRM,1,0.989925,0.848850,0.992063,0.988782,0.977074,0.640568,0.563930
CHRRM,1,0.993017,0.935247,0.996674,0.992931,0.979476,0.635350,0.563930
NRRM,2,0.864812,0.419826,0.898499,0.335562,0.846182,0.307822,NaN
LRRM,2,0.951472,0.082611,0.942100,0.269417,0.928463,0.052172,NaN
CLRRM,2,0.997126,0.959681,0.998737,0.988862,0.994343,0.810878,0.691385
CNRRM,2,0.968243,0.564686,0.974740,0.978043,0.966554,0.475085,0.781286
CHRRM,2,0.998041,0.972519,0.999179,0.990307,0.997777,0.884073,0.781286
NRRM,1,0.702319,0.052722,0.808441,-0.032573,0.633795,0.023652,NaN
LRRM,1,0.708382,-0.023392,0.828135,-0.052039,0.640954,-0.009951,NaN
CLRRM,1,0.987854,0.940675,0.990043,0.985949,0.946644,0.480216,0.497441
CNRRM,1,0.984776,0.888058,0.986741,0.981859,0.952198,0.518694,0.525606
CHRRM,1,0.988773,0.941339,0.990787,0.986167,0.955774,0.519388,0.525606
NRRM,2,0.870549,0.239330,0.867057,0.560527,0.842674,0.178121,NaN
LRRM,2,0.923864,0.184795,0.922659,0.583033,0.889521,0.140610,NaN
CLRRM,2,0.995292,0.960197,0.999347,0.999590,0.988337,0.800188,0.723858
CNRRM,2,0.964938,0.902547,0.998701,0.999459,0.955362,0.788911,0.737303
CHRRM,2,0.995505,0.961773,0.999397,0.999606,0.990332,0.813062,0.737303
NRRM,1,0.385110,0.399942,0.811626,0.040811,0.100216,0.117423,NaN
LRRM,1,0.852131,-0.247559,0.876117,-0.245369,0.828324,-0.097214,NaN
CLRRM,1,0.976243,0.973695,0.987271,0.992675,0.959580,0.522578,0.549800
CNRRM,1,0.948989,0.944434,0.987257,0.986123,0.942449,0.824429,0.776574
CHRRM,1,0.990788,0.989255,0.995177,0.996241,0.969873,0.806806,0.776574
NRRM,2,0.370246,0.433328,0.680820,0.260457,0.208496,0.202203,NaN
LRRM,2,0.797413,-0.035893,0.825601,-0.040432,0.795409,-0.021579,NaN
CLRRM,2,0.976715,0.914768,0.982923,0.978291,0.969342,0.822370,0.780974
CNRRM,2,0.832356,0.750949,0.918624,0.950566,0.810400,0.570028,1.483880
CHRRM,2,0.986592,0.941877,0.989957,0.974705,0.883255,0.922833,1.483880
NRRM,1,0.306043,0.421174,0.591037,0.366287,0.265617,0.222245,NaN
LRRM,1,0.675175,0.116260,0.743699,0.227113,0.635867,0.063427,NaN
CLRRM,1,0.984036,0.970818,0.991428,0.991594,0.958145,0.570606,0.532119
CNRRM,1,0.978800,0.929521,0.987565,0.986744,0.970955,0.707624,0.638013
CHRRM,1,0.989481,0.977770,0.994273,0.992995,0.981712,0.705636,0.638013
NRRM,2,0.838661,0.082491,0.783473,0.128668,0.707928,0.053583,NaN
LRRM,2,0.855880,-0.028810,0.793256,0.090145,0.707802,-0.019778,NaN
CLRRM,2,0.999933,0.999591,0.999974,0.999875,0.944773,0.995573,1.268942
CNRRM,2,0.980781,0.883962,0.996454,0.995236,0.798366,0.727974,1.889777
CHRRM,2,0.997762,0.972814,0.999593,0.996714,0.790594,0.893473,1.889777
NRRM,1,0.423949,0.403007,0.955748,-0.447421,0.126190,0.132241,NaN
LRRM,1,0.906740,-0.347570,0.954395,-0.582764,0.846276,-0.091808,NaN
CLRRM,1,0.944710,0.932836,0.980452,0.997242,0.908904,0.246840,0.328206
CNRRM,1,0.945047,0.889493,0.980127,0.995333,0.916639,0.276722,0.349184
CHRRM,1,0.947710,0.935425,0.981958,0.997312,0.915254,0.267555,0.349184
NRRM,2,0.596861,0.607800,0.551071,0.620118,0.589117,0.410563,NaN
LRRM,2,0.795669,0.412074,0.615144,0.598302,0.783857,0.381576,NaN
CLRRM,2,0.999633,0.999784,0.999865,0.999934,0.948765,0.992843,1.071783
CNRRM,2,0.998068,0.997444,0.999700,0.999848,0.946301,0.996560,1.111790
CHRRM,2,0.999804,0.999851,0.999925,0.999949,0.935215,0.997034,1.111790
