FitMethod,CNR,TemporalRes,TrueRelKt,TrueRelVe,TrueKep,errKt,errVe,errKep,stdErrKt,stdErrVe,stdErrKep, meanResid, stdResid
CNRRM,35.000000,15.000000,2.500000,4.000000,0.625000,-1.035408,-0.174261,0.715744,1.701786,0.697220,1.954890,0.000090,0.000021
LRRM,35.000000,30.000000,2.500000,4.000000,0.625000,3.677161,0.604038,-2.824927,4.728223,1.253734,13.737081,0.064504,0.011024
CLRRM,35.000000,30.000000,2.500000,4.000000,0.625000,3.838116,0.520504,-3.218794,2.711137,1.026599,2.758967,0.066944,0.011053
CHRRM,35.000000,30.000000,2.500000,4.000000,0.625000,2.876270,0.388460,-0.070617,2.741542,1.020485,2.894470,0.067138,0.011107
CLRRMm,35.000000,30.000000,2.500000,4.000000,0.625000,3.555531,0.480713,-2.292467,2.720158,1.024742,2.798422,0.066973,0.011061
CLRRMt,35.000000,30.000000,2.500000,4.000000,0.625000,2.255714,0.308143,1.953320,2.760703,1.016834,2.983705,0.067403,0.011180
NRRM,35.000000,30.000000,2.500000,4.000000,0.625000,1.758057,0.213010,-0.221696,4.852477,1.277615,14.274603,0.000127,0.000043
CNRRM,35.000000,30.000000,2.500000,4.000000,0.625000,1.981483,0.148228,-0.700622,2.438606,0.994908,2.694004,0.000127,0.000041
LRRM,35.000000,60.000000,2.500000,4.000000,0.625000,12.258003,1.881428,-7.046250,6.297615,1.897215,21.006861,0.043654,0.011211
CLRRM,35.000000,60.000000,2.500000,4.000000,0.625000,12.600999,1.667589,-8.095815,3.976467,1.492330,3.560391,0.046930,0.011358
CHRRM,35.000000,60.000000,2.500000,4.000000,0.625000,10.462277,1.337891,-0.001820,4.114220,1.468529,4.034123,0.047616,0.011563
CLRRMm,35.000000,60.000000,2.500000,4.000000,0.625000,12.073448,1.580364,-6.091503,4.010990,1.485905,3.674259,0.047006,0.011378
CLRRMt,35.000000,60.000000,2.500000,4.000000,0.625000,8.498144,1.083585,7.358541,4.235248,1.451094,4.497210,0.049086,0.012027
NRRM,35.000000,60.000000,2.500000,4.000000,0.625000,5.850090,0.496665,-0.102371,8.930203,2.330968,24.746379,0.000181,0.000089
CNRRM,35.000000,60.000000,2.500000,4.000000,0.625000,7.069323,0.497822,-2.258584,3.576286,1.428039,3.731349,0.000181,0.000084
LRRM,40.000000,1.000000,2.500000,4.000000,0.625000,0.013631,0.003994,-0.026880,0.814470,0.197382,2.244986,0.315700,0.009180
CLRRM,40.000000,1.000000,2.500000,4.000000,0.625000,0.019387,0.002068,-0.040275,0.436583,0.162513,0.471491,0.316117,0.009186
CHRRM,40.000000,1.000000,2.500000,4.000000,0.625000,-0.000860,-0.000619,0.022973,0.436673,0.162494,0.471942,0.316118,0.009186
CLRRMm,40.000000,1.000000,2.500000,4.000000,0.625000,0.009962,0.000817,-0.010831,0.436625,0.162504,0.471701,0.316117,0.009186
CLRRMt,40.000000,1.000000,2.500000,4.000000,0.625000,0.004883,0.000143,0.005032,0.436647,0.162500,0.471814,0.316117,0.009186
NRRM,40.000000,1.000000,2.500000,4.000000,0.625000,-0.010079,0.000115,0.039241,0.750191,0.192638,2.215135,0.000018,0.000001
CNRRM,40.000000,1.000000,2.500000,4.000000,0.625000,-0.003372,-0.001505,0.021382,0.386965,0.158971,0.435683,0.000018,0.000001
LRRM,40.000000,5.000000,2.500000,4.000000,0.625000,0.075172,0.022545,-0.136111,1.805888,0.444806,5.034208,0.141002,0.009199
CLRRM,40.000000,5.000000,2.500000,4.000000,0.625000,0.111134,0.013865,-0.228365,0.974085,0.364947,1.050561,0.141928,0.009263
CHRRM,40.000000,5.000000,2.500000,4.000000,0.625000,0.009243,0.000434,0.089340,0.975090,0.364734,1.055616,0.141934,0.009263
CLRRMm,40.000000,5.000000,2.500000,4.000000,0.625000,0.056392,0.006637,-0.057656,0.974626,0.364832,1.053275,0.141930,0.009263
CLRRMt,40.000000,5.000000,2.500000,4.000000,0.625000,0.029077,0.003041,0.027509,0.974895,0.364775,1.054631,0.141932,0.009263
NRRM,40.000000,5.000000,2.500000,4.000000,0.625000,-0.053408,-0.000447,0.185139,1.669346,0.434182,4.978489,0.000040,0.000005
CNRRM,40.000000,5.000000,2.500000,4.000000,0.625000,-0.013936,-0.007549,0.074287,0.860148,0.355543,0.970036,0.000040,0.000005
LRRM,40.000000,10.000000,2.500000,4.000000,0.625000,0.041581,0.032900,-0.136153,2.542392,0.628079,7.140228,0.099465,0.009410
CLRRM,40.000000,10.000000,2.500000,4.000000,0.625000,0.097025,0.013426,-0.273613,1.384411,0.516021,1.502810,0.100759,0.009507
CHRRM,40.000000,10.000000,2.500000,4.000000,0.625000,-0.128334,-0.015729,0.424652,1.387506,0.515346,1.518668,0.100780,0.009509
CLRRMm,40.000000,10.000000,2.500000,4.000000,0.625000,0.002749,0.001174,0.018574,1.385709,0.515737,1.509433,0.100765,0.009507
CLRRMt,40.000000,10.000000,2.500000,4.000000,0.625000,0.006247,0.001627,0.007736,1.385661,0.515747,1.509187,0.100764,0.009507
NRRM,40.000000,10.000000,2.500000,4.000000,0.625000,-0.264191,-0.025353,0.532434,2.394663,0.618300,7.115845,0.000057,0.000011
CNRRM,40.000000,10.000000,2.500000,4.000000,0.625000,-0.203533,-0.042693,0.376385,1.234358,0.503221,1.403080,0.000057,0.000011
LRRM,40.000000,15.000000,2.500000,4.000000,0.625000,-0.557289,-0.044271,0.126557,3.096701,0.762136,8.517047,0.081053,0.009533
CLRRM,40.000000,15.000000,2.500000,4.000000,0.625000,-0.450226,-0.068449,-0.146348,1.685942,0.632369,1.831077,0.082651,0.009605
CHRRM,40.000000,15.000000,2.500000,4.000000,0.625000,-0.872414,-0.122361,1.154752,1.692924,0.630894,1.867356,0.082701,0.009617
CLRRMm,40.000000,15.000000,2.500000,4.000000,0.625000,-0.613109,-0.089436,0.355903,1.688648,0.631793,1.845030,0.082661,0.009608
CLRRMt,40.000000,15.000000,2.500000,4.000000,0.625000,-0.391778,-0.060859,-0.326655,1.684967,0.632578,1.826084,0.082650,0.009605
NRRM,40.000000,15.000000,2.500000,4.000000,0.625000,-1.158561,-0.160713,1.138336,2.924316,0.749895,8.525932,0.000069,0.000016
CNRRM,40.000000,15.000000,2.500000,4.000000,0.625000,-1.093163,-0.188284,0.996672,1.498278,0.616661,1.721873,0.000069,0.000016
LRRM,40.000000,30.000000,2.500000,4.000000,0.625000,3.562428,0.540390,-2.006549,4.194280,1.095853,12.169410,0.056614,0.009755
CLRRM,40.000000,30.000000,2.500000,4.000000,0.625000,3.736459,0.484147,-2.476040,2.435325,0.901183,2.493633,0.058757,0.009835
CHRRM,40.000000,30.000000,2.500000,4.000000,0.625000,2.892175,0.369691,0.291954,2.459260,0.896484,2.600680,0.058909,0.009872
CLRRMm,40.000000,30.000000,2.500000,4.000000,0.625000,3.467936,0.446955,-1.594553,2.443002,0.899646,2.527423,0.058780,0.009840
CLRRMt,40.000000,30.000000,2.500000,4.000000,0.625000,2.352622,0.300210,2.055433,2.474239,0.893677,2.670322,0.059128,0.009928
NRRM,40.000000,30.000000,2.500000,4.000000,0.625000,1.753261,0.170470,0.182553,4.245898,1.114907,12.537810,0.000098,0.000033
CNRRM,40.000000,30.000000,2.500000,4.000000,0.625000,1.975361,0.131694,-0.364269,2.167458,0.874226,2.399151,0.000098,0.000032
LRRM,40.000000,60.000000,2.500000,4.000000,0.625000,12.228961,1.788771,-6.341524,5.588158,1.641653,18.474988,0.038391,0.010034
CLRRM,40.000000,60.000000,2.500000,4.000000,0.625000,12.475734,1.628228,-7.081504,3.525527,1.318412,3.186497,0.041282,0.010184
CHRRM,40.000000,60.000000,2.500000,4.000000,0.625000,10.428695,1.318530,0.680142,3.641967,1.298734,3.590078,0.041973,0.010392
CLRRMm,40.000000,60.000000,2.500000,4.000000,0.625000,12.086028,1.564882,-5.597934,3.548067,1.314303,3.261322,0.041334,0.010199
CLRRMt,40.000000,60.000000,2.500000,4.000000,0.625000,8.620789,1.086225,7.471789,3.740556,1.284666,3.967955,0.043402,0.010823
NRRM,40.000000,60.000000,2.500000,4.000000,0.625000,6.153961,0.484350,-0.282808,7.673521,1.994668,21.356413,0.000140,0.000071
CNRRM,40.000000,60.000000,2.500000,4.000000,0.625000,6.976466,0.466058,-1.636188,3.144619,1.262926,3.301433,0.000140,0.000067
LRRM,45.000000,1.000000,2.500000,4.000000,0.625000,0.010243,0.001246,-0.036050,0.718128,0.176926,1.987261,0.280894,0.008125
CLRRM,45.000000,1.000000,2.500000,4.000000,0.625000,0.011801,-0.000661,-0.037422,0.392134,0.146472,0.428803,0.281259,0.008142
CHRRM,45.000000,1.000000,2.500000,4.000000,0.625000,0.004478,-0.001633,-0.014551,0.392164,0.146465,0.428951,0.281259,0.008142
CLRRMm,45.000000,1.000000,2.500000,4.000000,0.625000,0.007399,-0.001245,-0.023674,0.392152,0.146468,0.428892,0.281259,0.008142
CLRRMt,45.000000,1.000000,2.500000,4.000000,0.625000,-0.000764,-0.002328,0.001823,0.392185,0.146461,0.429057,0.281259,0.008142
NRRM,45.000000,1.000000,2.500000,4.000000,0.625000,-0.003154,-0.001054,0.010531,0.655547,0.172666,1.953591,0.000014,0.000001
CNRRM,45.000000,1.000000,2.500000,4.000000,0.625000,0.005021,-0.001810,-0.013808,0.348387,0.143550,0.396343,0.000014,0.000001
LRRM,45.000000,5.000000,2.500000,4.000000,0.625000,0.042848,0.015382,-0.136241,1.603320,0.388624,4.405988,0.125421,0.008267
CLRRM,45.000000,5.000000,2.500000,4.000000,0.625000,0.039919,0.004609,-0.109352,0.868374,0.321336,0.943739,0.126232,0.008298
CHRRM,45.000000,5.000000,2.500000,4.000000,0.625000,-0.031393,-0.004771,0.112825,0.869009,0.321200,0.946911,0.126237,0.008298
CLRRMm,45.000000,5.000000,2.500000,4.000000,0.625000,0.028706,0.003131,-0.074412,0.868474,0.321315,0.944237,0.126232,0.008298
CLRRMt,45.000000,5.000000,2.500000,4.000000,0.625000,0.003305,-0.000213,0.004729,0.868700,0.321267,0.945367,0.126234,0.008298
NRRM,45.000000,5.000000,2.500000,4.000000,0.625000,-0.052497,-0.002802,0.105675,1.480913,0.379618,4.355514,0.000032,0.000004
CNRRM,45.000000,5.000000,2.500000,4.000000,0.625000,-0.046641,-0.012396,0.105315,0.773037,0.314683,0.876512,0.000032,0.000004
LRRM,45.000000,10.000000,2.500000,4.000000,0.625000,0.001875,0.021701,-0.108103,2.288941,0.552619,6.319380,0.088562,0.008315
CLRRM,45.000000,10.000000,2.500000,4.000000,0.625000,0.044921,0.006164,-0.207097,1.212875,0.454951,1.320407,0.089731,0.008353
CHRRM,45.000000,10.000000,2.500000,4.000000,0.625000,-0.135103,-0.017121,0.350420,1.215073,0.454473,1.331561,0.089746,0.008357
CLRRMm,45.000000,10.000000,2.500000,4.000000,0.625000,-0.028119,-0.003319,0.019153,1.213768,0.454756,1.324927,0.089735,0.008354
CLRRMt,45.000000,10.000000,2.500000,4.000000,0.625000,-0.017655,-0.001963,-0.013257,1.213640,0.454784,1.324279,0.089734,0.008354
NRRM,45.000000,10.000000,2.500000,4.000000,0.625000,-0.272976,-0.032024,0.443118,2.147050,0.544548,6.296911,0.000045,0.000008
CNRRM,45.000000,10.000000,2.500000,4.000000,0.625000,-0.216375,-0.044332,0.296268,1.084315,0.446424,1.233407,0.000045,0.000008
LRRM,45.000000,15.000000,2.500000,4.000000,0.625000,-0.535699,-0.049102,0.051576,2.730246,0.675703,7.476870,0.071977,0.008402
CLRRM,45.000000,15.000000,2.500000,4.000000,0.625000,-0.494099,-0.073054,-0.033031,1.488710,0.559246,1.632722,0.073368,0.008470
CHRRM,45.000000,15.000000,2.500000,4.000000,0.625000,-0.820820,-0.114828,0.973991,1.493577,0.558199,1.657734,0.073408,0.008478
CLRRMm,45.000000,15.000000,2.500000,4.000000,0.625000,-0.578770,-0.083971,0.228078,1.489977,0.558972,1.639185,0.073373,0.008471
CLRRMt,45.000000,15.000000,2.500000,4.000000,0.625000,-0.396882,-0.060439,-0.332945,1.487251,0.559564,1.625318,0.073366,0.008469
NRRM,45.000000,15.000000,2.500000,4.000000,0.625000,-1.112153,-0.160784,0.930633,2.573719,0.668199,7.484677,0.000055,0.000013
CNRRM,45.000000,15.000000,2.500000,4.000000,0.625000,-1.056376,-0.181161,0.801446,1.324783,0.546273,1.528385,0.000055,0.000012
LRRM,45.000000,30.000000,2.500000,4.000000,0.625000,3.576951,0.516984,-2.128308,3.729949,0.973592,10.828257,0.050236,0.008589
CLRRM,45.000000,30.000000,2.500000,4.000000,0.625000,3.671913,0.466344,-2.354498,2.117925,0.802295,2.173840,0.052167,0.008695
CHRRM,45.000000,30.000000,2.500000,4.000000,0.625000,2.896543,0.361180,0.188016,2.137223,0.798550,2.259724,0.052322,0.008729
CLRRMm,45.000000,30.000000,2.500000,4.000000,0.625000,3.502177,0.442797,-1.797159,2.122187,0.801451,2.192491,0.052182,0.008697
CLRRMt,45.000000,30.000000,2.500000,4.000000,0.625000,2.329273,0.287983,2.042555,2.151060,0.795983,2.323659,0.052573,0.008791
NRRM,45.000000,30.000000,2.500000,4.000000,0.625000,1.827847,0.159280,-0.216453,3.782162,0.994160,11.170637,0.000077,0.000026
CNRRM,45.000000,30.000000,2.500000,4.000000,0.625000,1.955931,0.119906,-0.487732,1.879651,0.779646,2.081255,0.000077,0.000025
LRRM,45.000000,60.000000,2.500000,4.000000,0.625000,12.216054,1.731637,-6.345970,4.937243,1.443596,16.422712,0.034032,0.008842
CLRRM,45.000000,60.000000,2.500000,4.000000,0.625000,12.385491,1.599631,-6.828054,3.088725,1.159242,2.802977,0.036648,0.008975
CHRRM,45.000000,60.000000,2.500000,4.000000,0.625000,10.496392,1.313563,0.335961,3.183736,1.143580,3.130559,0.037293,0.009194
CLRRMm,45.000000,60.000000,2.500000,4.000000,0.625000,12.104725,1.554038,-5.759113,3.103074,1.156695,2.850426,0.036681,0.008988
CLRRMt,45.000000,60.000000,2.500000,4.000000,0.625000,8.599181,1.068793,7.464912,3.275309,1.130800,3.479028,0.038886,0.009694
NRRM,45.000000,60.000000,2.500000,4.000000,0.625000,6.416148,0.488998,-0.989933,6.660330,1.743136,18.753720,0.000110,0.000055
CNRRM,45.000000,60.000000,2.500000,4.000000,0.625000,7.034576,0.466361,-1.985272,2.740429,1.115385,2.870014,0.000110,0.000052
LRRM,50.000000,1.000000,2.500000,4.000000,0.625000,0.005420,0.000453,-0.019527,0.646128,0.157895,1.778325,0.252849,0.007386
CLRRM,50.000000,1.000000,2.500000,4.000000,0.625000,0.005026,-0.001282,-0.015574,0.354115,0.130677,0.385127,0.253174,0.007394
CHRRM,50.000000,1.000000,2.500000,4.000000,0.625000,-0.006120,-0.002761,0.019238,0.354155,0.130668,0.385329,0.253175,0.007394
CLRRMm,50.000000,1.000000,2.500000,4.000000,0.625000,0.003111,-0.001536,-0.009593,0.354122,0.130675,0.385162,0.253174,0.007394
CLRRMt,50.000000,1.000000,2.500000,4.000000,0.625000,-0.000508,-0.002016,0.001709,0.354135,0.130672,0.385227,0.253175,0.007394
NRRM,50.000000,1.000000,2.500000,4.000000,0.625000,-0.006641,-0.001661,0.014858,0.595674,0.153945,1.750265,0.000011,0.000001
CNRRM,50.000000,1.000000,2.500000,4.000000,0.625000,-0.006987,-0.003431,0.019064,0.313783,0.127787,0.355966,0.000011,0.000001
LRRM,50.000000,5.000000,2.500000,4.000000,0.625000,0.025128,0.009750,-0.053130,1.451196,0.352403,3.970302,0.113066,0.007263
CLRRM,50.000000,5.000000,2.500000,4.000000,0.625000,0.050964,0.004746,-0.118494,0.782278,0.292806,0.845279,0.113796,0.007297
CHRRM,50.000000,5.000000,2.500000,4.000000,0.625000,-0.031823,-0.006143,0.139495,0.782930,0.292668,0.848576,0.113800,0.007298
CLRRMm,50.000000,5.000000,2.500000,4.000000,0.625000,0.013709,-0.000162,-0.002386,0.782572,0.292743,0.846762,0.113797,0.007297
CLRRMt,50.000000,5.000000,2.500000,4.000000,0.625000,0.009390,-0.000730,0.011073,0.782606,0.292736,0.846934,0.113797,0.007297
NRRM,50.000000,5.000000,2.500000,4.000000,0.625000,-0.067440,-0.007697,0.149878,1.329442,0.342800,3.900232,0.000026,0.000003
CNRRM,50.000000,5.000000,2.500000,4.000000,0.625000,-0.055066,-0.014108,0.124301,0.694278,0.286531,0.784305,0.000026,0.000003
LRRM,50.000000,10.000000,2.500000,4.000000,0.625000,-0.032593,0.008621,0.027631,2.054155,0.494337,5.632543,0.079935,0.007431
CLRRM,50.000000,10.000000,2.500000,4.000000,0.625000,0.003997,-0.003249,-0.057823,1.108986,0.411440,1.203096,0.080960,0.007496
CHRRM,50.000000,10.000000,2.500000,4.000000,0.625000,-0.156530,-0.023955,0.439317,1.110754,0.411065,1.212140,0.080973,0.007495
CLRRMm,50.000000,10.000000,2.500000,4.000000,0.625000,-0.056305,-0.011054,0.128965,1.109651,0.411298,1.206489,0.080963,0.007495
CLRRMt,50.000000,10.000000,2.500000,4.000000,0.625000,-0.012890,-0.005438,-0.005510,1.109173,0.411400,1.204046,0.080961,0.007495
NRRM,50.000000,10.000000,2.500000,4.000000,0.625000,-0.285207,-0.041331,0.503437,1.923906,0.485213,5.594870,0.000037,0.000007
CNRRM,50.000000,10.000000,2.500000,4.000000,0.625000,-0.238817,-0.050672,0.383588,0.987735,0.403165,1.122359,0.000037,0.000007
LRRM,50.000000,15.000000,2.500000,4.000000,0.625000,-0.572901,-0.062434,0.187521,2.495428,0.595583,6.815456,0.064947,0.007489
CLRRM,50.000000,15.000000,2.500000,4.000000,0.625000,-0.515383,-0.079488,0.052894,1.336387,0.494614,1.448317,0.066236,0.007587
CHRRM,50.000000,15.000000,2.500000,4.000000,0.625000,-0.822609,-0.118721,0.999975,1.340388,0.493785,1.469156,0.066269,0.007598
CLRRMm,50.000000,15.000000,2.500000,4.000000,0.625000,-0.607989,-0.091403,0.338499,1.337598,0.494361,1.454582,0.066240,0.007589
CLRRMt,50.000000,15.000000,2.500000,4.000000,0.625000,-0.392446,-0.063552,-0.326428,1.334774,0.494952,1.440021,0.066237,0.007585
NRRM,50.000000,15.000000,2.500000,4.000000,0.625000,-1.124493,-0.170060,0.946019,2.341639,0.584630,6.770315,0.000044,0.000010
CNRRM,50.000000,15.000000,2.500000,4.000000,0.625000,-1.069314,-0.185314,0.816318,1.191882,0.483384,1.361182,0.000044,0.000010
LRRM,50.000000,30.000000,2.500000,4.000000,0.625000,3.529669,0.497535,-1.949286,3.369993,0.861391,9.837549,0.045408,0.007748
CLRRM,50.000000,30.000000,2.500000,4.000000,0.625000,3.619188,0.457487,-2.174845,1.933087,0.713538,1.980985,0.047171,0.007868
CHRRM,50.000000,30.000000,2.500000,4.000000,0.625000,2.900328,0.360206,0.181640,1.949158,0.710425,2.053148,0.047309,0.007898
CLRRMm,50.000000,30.000000,2.500000,4.000000,0.625000,3.467898,0.436576,-1.678269,1.936497,0.712864,1.996060,0.047183,0.007870
CLRRMt,50.000000,30.000000,2.500000,4.000000,0.625000,2.330644,0.286709,2.043726,1.961649,0.708108,2.111294,0.047566,0.007962
NRRM,50.000000,30.000000,2.500000,4.000000,0.625000,1.850849,0.152537,-0.232291,3.416234,0.878944,10.081973,0.000063,0.000021
CNRRM,50.000000,30.000000,2.500000,4.000000,0.625000,1.967038,0.122580,-0.490607,1.722304,0.696159,1.897961,0.000063,0.000021
LRRM,50.000000,60.000000,2.500000,4.000000,0.625000,12.191775,1.687991,-6.098217,4.473694,1.291003,15.000418,0.030812,0.007988
CLRRM,50.000000,60.000000,2.500000,4.000000,0.625000,12.388032,1.590780,-6.742016,2.849101,1.048046,2.590770,0.033185,0.008132
CHRRM,50.000000,60.000000,2.500000,4.000000,0.625000,10.590650,1.318136,0.077767,2.932889,1.034104,2.878154,0.033772,0.008332
CLRRMm,50.000000,60.000000,2.500000,4.000000,0.625000,12.094877,1.543307,-5.625603,2.862973,1.045572,2.636528,0.033213,0.008144
CLRRMt,50.000000,60.000000,2.500000,4.000000,0.625000,8.619506,1.063171,7.488739,3.021095,1.021660,3.211908,0.035488,0.008862
NRRM,50.000000,60.000000,2.500000,4.000000,0.625000,6.594222,0.490073,-1.277136,5.970590,1.558030,16.898667,0.000091,0.000045
CNRRM,50.000000,60.000000,2.500000,4.000000,0.625000,7.140913,0.481882,-2.234937,2.519016,1.011908,2.630200,0.000090,0.000043
